"scientific_name","scientific_name_clean","join_name","match_status","Sequence","Species1","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","source","Species2","Family2","Order2","Avibase.ID2","Species3","Family3","Order3","Species.Status"
"Gallinago hardwickii","gallinago hardwickii","gallinago hardwickii","exact","2509","Gallinago hardwickii","Scolopacidae","Charadriiformes","AVIBASE-C9B4E3D5","5","3","2","0","4","73.1","63.3","5","7.7","34.9","151","72.5","77.2","48.4","60.8","151.31","Dunning","NA","NO","NA","NA","Human Modified","3","3","Carnivore","Aquatic predator","Terrestrial","32.369999999999997","49.5","40.200000000000003","140.22999999999999","251911.82","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Coturnix ypsilophora","coturnix ypsilophora","coturnix ypsilophora","exact",NA,NA,NA,NA,NA,"5","0","2","3","4","15.6","8.4","5.8","6.2","23.2","98","33.4","66.3","33.5","37.6","107.69","Dunning","NA","NO","NA","NA","Grassland","2","1","Herbivore","Granivore","Terrestrial","-43.64","-1.47","-22.14","137.9788594","5709134.8799999999","AVONET3_BirdTree",NA,NA,NA,NA,"Coturnix ypsilophora","Phasianidae","Galliformes","Extant"
"Charadrius ruficapillus","charadrius ruficapillus","charadrius ruficapillus","exact","2386","Charadrius ruficapillus","Charadriidae","Charadriiformes","AVIBASE-1EDCA978","5","2","3","0","4","15.7","8.8","2.6","3","24.9","99.2","51.5","46.2","52.7","38.6","37.4","Dunning","NA","NO","NA","NA","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","-43.64","-8.33","-27.1","133.76","4811331.66","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Neophema chrysostoma","neophema chrysostoma","neophema chrysostoma","exact","4331","Neophema chrysostoma","Psittacidae","Psittaciformes","AVIBASE-DEEC38A7","5","2","3","0","4","14.1","11.2","7.6","12","14.8","104.8","45.1","61","42.6","125.4","46.1","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-43.64","-36.35","-39.43","145.16999999999999","171443.53","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Hieraaetus morphnoides","hieraaetus morphnoides","hieraaetus morphnoides","exact","3059","Hieraaetus morphnoides","Accipitridae","Accipitriformes","AVIBASE-1117758C","5","3","2","0","4","35.7","20.6","10.9","18.1","54.5","364.8","161.2","198","44.9","205.2","775.05","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Vertivore","Generalist","-39.14","-10.7","-25.34","134.65","7265023.2199999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Tyto javanica","tyto javanica",NA,"unmatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parvipsitta porphyrocephala","parvipsitta porphyrocephala","glossopsitta porphyrocephala","replaced","4368","Glossopsitta porphyrocephala","Psittacidae","Psittaciformes","AVIBASE-9689E669","5","2","3","0","4","15","11","7","11","12.3","103","55.2","46.8","54.2","59.4","44.7","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Nectarivore","Insessorial","-38.86","-29.34","-33.42","130.5","937738.55","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Ptilotula fusca","ptilotula fusca","ptilotula fusca","exact","6140","Ptilotula fusca","Meliphagidae","Passeriformes","AVIBASE-34CC9FA8","19","7","12","0","4","16.1","6.7","2.7","3.4","18.9","81","16.5","61.3","21.1","66.5","17.68","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Invertivore","Insessorial","-38.42","-16.649999999999999","-30.3","148.29","949120.71","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Tribonyx ventralis","tribonyx ventralis","tribonyx ventralis","exact","1880","Tribonyx ventralis","Rallidae","Gruiformes","AVIBASE-B0A6B924","5","2","3","0","4","28.8","11.5","5.5","9.4","54.5","205.4","79","125","38.8","83","386.31","Dunning","NA","NO","NA","NA","Wetland","2","2","Herbivore","Omnivore","Terrestrial","-38.909999999999997","-14.76","-27.18","134.26","4599237.18","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Circus assimilis","circus assimilis","circus assimilis","exact","3076","Circus assimilis","Accipitridae","Accipitriformes","AVIBASE-811762D2","9","6","3","0","8","36.1","20.2","11.2","16.2","95.2","421.6","191.6","234","45","271.1","558.58","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Vertivore","Aerial","-39.14","1.76","-25","134.02000000000001","7817547.5899999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Petroica boodang","petroica boodang","petroica boodang","exact","7130","Petroica boodang","Petroicidae","Passeriformes","AVIBASE-082099D1","8","3","5","0","4","12.8","7","3.3","3.1","18.3","73.8","20.4","54.9","27.1","54.2","12.5","Updated_literature","Dunning (2021)","NO","NA","NA","Shrubland","1","1","Carnivore","Invertivore","Insessorial","-43.62","-27.17","-35.04","139.31","616459.04","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Smicrornis brevirostris","smicrornis brevirostris","smicrornis brevirostris","exact","6188","Smicrornis brevirostris","Acanthizidae","Passeriformes","AVIBASE-4568006A","19","6","13","0","4","8","4","2.4","2.8","15.7","49.6","8.4","42.1","16.6","34","5.3","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","-39.14","-10.02","-25.7","134.77000000000001","7230924.8799999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Rhipidura rufifrons","rhipidura rufifrons","rhipidura rufifrons","exact","6727","Rhipidura rufifrons","Rhipiduridae","Passeriformes","AVIBASE-45842708","19","8","11","0","4","12.9","6","3.8","3.1","19","72.1","15.3","58.6","20.7","83.1","10.08","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-39.479999999999997","15.29","-26.84","148.16999999999999","843136.87","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Dicaeum hirundinaceum","dicaeum hirundinaceum","dicaeum hirundinaceum","exact","9460","Dicaeum hirundinaceum","Dicaeidae","Passeriformes","AVIBASE-7CCB0FB6","18","8","10","0","3","10.7","5.8","3.3","3.5","12.8","60.2","15.6","45.2","25.7","30.8","9.04","Dunning","NA","NO","NA","NA","Forest","2","2","Omnivore","Invertivore","Insessorial","-39.479999999999997","-10.02","-25.13","134.47","6464367.0999999996","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Chalcites lucidus","chalcites lucidus","chalcites lucidus","exact","1678","Chalcites lucidus","Cuculidae","Cuculiformes","AVIBASE-19268395","4","2","2","0","4","18.3","10.5","5.8","4.7","17.6","102.8","45.2","57.6","44","67.5","24.44","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-47.29","-9.75","-30.39","144.03","2736789.25","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Taeniopygia guttata","taeniopygia guttata","taeniopygia guttata","exact","9874","Taeniopygia guttata","Estrildidae","Passeriformes","AVIBASE-CF7D71B0","8","4","4","0","7","10","7.1","5.3","6.3","13.3","50.5","11.2","39.2","22.2","34.2","12.04","Dunning","NA","NO","NA","NA","Grassland","2","2","Herbivore","Granivore","Terrestrial","-10.94","-7.56","-8.98","121.92","83399.73","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Morus serrator","morus serrator","morus serrator","exact","2280","Morus serrator","Sulidae","Suliformes","AVIBASE-13610344","6","1","2","3","4","88.3","87","22.6","29.4","54.1","461","279.5","174.2","61.6","200.5","2350","Dunning","NA","NO","NA","NA","Marine","3","2","Carnivore","Aquatic predator","Aerial","-46.68","-23.48","-39.729999999999997","152.63","10238.620000000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Phaps chalcoptera","phaps chalcoptera","phaps chalcoptera","exact","765","Phaps chalcoptera","Columbidae","Columbiformes","AVIBASE-8D30DDA6","5","2","3","0","4","25.7","12.4","3.8","4.6","29.3","197.8","77.8","121.7","39","126","330.74","Dunning","NA","NO","NA","NA","Forest","3","1","Herbivore","Granivore","Terrestrial","-43.64","-10.9","-26.24","135.71","5889502.1699999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Pachycephala rufiventris","pachycephala rufiventris","pachycephala rufiventris","exact","6339","Pachycephala rufiventris","Pachycephalidae","Passeriformes","AVIBASE-0ABCDD1C","22","8","14","0","4","16.5","8.3","4.7","5.4","21.4","92.7","22.4","70.2","24.1","66.6","22.48","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-39.479999999999997","-10.51","-25.44","134.41","7227395.75","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Oriolus sagittatus","oriolus sagittatus","oriolus sagittatus","exact","6255","Oriolus sagittatus","Oriolidae","Passeriformes","AVIBASE-068516BB","17","7","10","0","4","33.8","20.3","8.5","9.6","25.7","145.1","41.2","102.8","28.6","100.5","95.2","Dunning","NA","NO","NA","NA","Woodland","2","2","Herbivore","Omnivore","Insessorial","-39.14","-7.72","-24.55","141.93","3411405.87","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Larus dominicanus","larus dominicanus","larus dominicanus","exact","2627","Larus dominicanus","Laridae","Charadriiformes","AVIBASE-E6536E4E","5","2","2","1","4","64.7","23.4","8.6","19.2","64.7","402","224","178.5","55.6","154.2","952.43","Dunning","NA","NO","NA","NA","Marine","3","1","Carnivore","Omnivore","Generalist","-75.760000000000005","-0.83","-37.5","-22.1","3780207.34","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Bubulcus ibis","bubulcus ibis","bubulcus ibis","exact","2232","Bubulcus ibis","Ardeidae","Pelecaniformes","AVIBASE-6CCDAC53","14","7","7","0","10","63.3","43.5","8.6","11.5","76.8","244.4","73","171.2","29.9","90.9","365.95","Dunning","NA","NO","NA","NA","Human Modified","3","2","Carnivore","Omnivore","Terrestrial","-55.98","58.29","5.0999999999999996","-2.69","62451101.719999999","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Parvipsitta pusilla","parvipsitta pusilla","glossopsitta pusilla","replaced","4367","Glossopsitta pusilla","Psittacidae","Psittaciformes","AVIBASE-3AACCDB1","4","2","2","0","4","14.4","10.2","7.4","9.7","11.2","96.2","52.6","43.6","54.7","55.8","39.4","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Omnivore","Insessorial","-39","-15.93","-31.2","148.58000000000001","776503.49","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Gavicalis virescens","gavicalis virescens","gavicalis virescens","exact","6135","Gavicalis virescens","Meliphagidae","Passeriformes","AVIBASE-ADF91F60","20","10","10","0","4","19.6","9.3","3.1","3.9","22.6","90.9","16.4","73.6","18.2","81.2","23.33","Dunning","NA","NO","NA","NA","Shrubland","2","1","Omnivore","Invertivore","Insessorial","-38.86","-11.12","-25.8","133.91","7306702.4400000004","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Cincloramphus mathewsi","cincloramphus mathewsi","cincloramphus mathewsi","exact","7640","Cincloramphus mathewsi","Locustellidae","Passeriformes","AVIBASE-D6C5E52E","11","4","7","0","4","16.6","8.8","3.6","3.9","25.7","86.2","17.8","64.2","21.4","78.4","29.34","Dunning","NA","NO","NA","NA","Grassland","3","3","Carnivore","Invertivore","Terrestrial","-37.96","-20.74","-30.05","138.88999999999999","2030401.43","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Calidris acuminata","calidris acuminata","calidris acuminata","exact","2466","Calidris acuminata","Scolopacidae","Charadriiformes","AVIBASE-A0A67A81","5","2","3","0","4","27.4","20.5","2.8","3.9","28.7","128.8","70.4","58.6","54.5","53.4","66.08","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","67.56","73.930000000000007","70.739999999999995","144.88","348177.87","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Hirundapus caudacutus","hirundapus caudacutus","hirundapus caudacutus","exact","1140","Hirundapus caudacutus","Apodidae","Caprimulgiformes","AVIBASE-EA55CA27","4","2","2","0","4","12.9","5","3.5","2.8","18.5","206","148.8","57.2","72.2","49.8","95.5","Dunning","NA","NO","NA","NA","Woodland","1","3","Carnivore","Invertivore","Aerial","26.67","60.83","46.53","112.91","6143488.25","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Pycnonotus jocosus","pycnonotus jocosus","pycnonotus jocosus","exact","7887","Pycnonotus jocosus","Pycnonotidae","Passeriformes","AVIBASE-F9E37510","9","4","5","0","8","17.5","9.1","4.5","4.8","20.5","86.8","12.4","74.8","14.2","88.1","29.47","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Omnivore","Insessorial","2.54","30.91","20.23","93.52","5185044.87","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Nymphicus hollandicus","nymphicus hollandicus","nymphicus hollandicus","exact","4080","Nymphicus hollandicus","Cacatuidae","Psittaciformes","AVIBASE-FDAEA60A","7","2","5","0","4","17.7","14.1","8.7","15.8","14.8","167.3","83.8","81.8","50.6","165.9","94.61","Dunning","NA","NO","NA","NA","Grassland","3","2","Herbivore","Granivore","Terrestrial","-37.68","-12.04","-25.22","134.6","6462401.7199999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Philemon corniculatus","philemon corniculatus","philemon corniculatus","exact","6028","Philemon corniculatus","Meliphagidae","Passeriformes","AVIBASE-6AD860B6","15","5","10","0","4","35.4","18.6","5.7","8.6","31.2","152.1","42","112.4","27.1","129","100.71","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Omnivore","Insessorial","-39.14","-8.26","-27.22","147.27000000000001","1758116.37","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Stercorarius parasiticus","stercorarius parasiticus","stercorarius parasiticus","exact","2679","Stercorarius parasiticus","Stercorariidae","Charadriiformes","AVIBASE-39086887","14","6","8","0","8","36.1","12","5.7","9","41.5","310.5","188.3","124.5","60.2","172","444.31","Dunning","NA","NO","NA","NA","Marine","3","3","Carnivore","Aquatic predator","Aerial","-7.99","81.19","68.31","-11.33","6277591.3099999996","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Artamus personatus","artamus personatus","artamus personatus","exact","6541","Artamus personatus","Artamidae","Passeriformes","AVIBASE-92A5A04D","9","4","5","0","4","22.6","13.8","5.6","6.4","19.7","120.9","52.6","68.5","43.4","71.6","34.6","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Aerial","-40.159999999999997","-11.12","-25.72","134.27000000000001","7500863.7199999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Lichenostomus melanops","lichenostomus melanops","lichenostomus melanops","exact","6148","Lichenostomus melanops","Meliphagidae","Passeriformes","AVIBASE-6409E246","22","10","12","0","4","18.7","8.5","3","4.1","21.7","84.5","15.9","64.8","19.6","82","32.3","Dunning","NA","NO","NA","NA","Forest","2","2","Omnivore","Omnivore","Insessorial","-39.15","-23.02","-31.75","148.68","732848.75","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Strepera versicolor","strepera versicolor","strepera versicolor","exact","6532","Strepera versicolor","Artamidae","Passeriformes","AVIBASE-B7717F2A","15","4","8","3","4","65.3","43.9","13.4","20.1","63","267.3","71.8","196.1","26.8","213.7","395.47","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Omnivore","Terrestrial","-43.45","-23.06","-32.07","131.9","2079178.27","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Artamus superciliosus","artamus superciliosus","artamus superciliosus","exact","6542","Artamus superciliosus","Artamidae","Passeriformes","AVIBASE-FC26F2A3","12","4","6","2","4","22.9","12.8","5.8","6.3","20.5","119.5","52.4","67.2","43.8","74.1","35.5","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Invertivore","Aerial","-42.56","-11.63","-25.72","135.12","7162672.29","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthiza nana","acanthiza nana","acanthiza nana","exact","6220","Acanthiza nana","Acanthizidae","Passeriformes","AVIBASE-D6D77AFA","19","8","11","0","4","10","5.2","2.1","2.7","17.2","49.1","8.8","40.8","17.8","36.8","6.19","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-39.14","-15.68","-29.95","146.15","2021416.13","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Eopsaltria australis","eopsaltria australis","eopsaltria australis","exact","7161","Eopsaltria australis","Petroicidae","Passeriformes","AVIBASE-FB313820","16","7","6","3","4","15.9","8","3.9","4.2","21.6","84.7","20","62.2","24.4","64.9","20.15","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-39.479999999999997","-14.52","-29.94","148.1","1174338.8400000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Hydroprogne caspia","hydroprogne caspia","hydroprogne caspia","exact","2653","Hydroprogne caspia","Laridae","Charadriiformes","AVIBASE-BC06BC0D","10","5","5","0","4","78.7","49.1","10.4","19.2","42.6","410.7","268.2","143.1","65.1","148.7","655","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Aquatic predator","Aerial","-46.99","65.989999999999995","7.58","76.67","6293644.9100000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Biziura lobata","biziura lobata","biziura lobata","exact","393","Biziura lobata","Anatidae","Anseriformes","AVIBASE-623B61C4","6","3","3","0","4","41.6","23.4","28.2","18.1","46.6","211.5","85.9","129.3","40","105.2","1928.54","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","-43.64","-22","-34.06","141.96","1207634.45","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Chalcites osculans","chalcites osculans","chalcites osculans","exact","1676","Chalcites osculans","Cuculidae","Cuculiformes","AVIBASE-087C279E","5","2","2","1","4","18.4","11.5","4.8","5.1","18.8","115.2","45.4","68.8","39.8","86.4","30.9","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-38.86","-10.9","-25.39","134.69","7041722.8700000001","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Anseranas semipalmata","anseranas semipalmata","anseranas semipalmata","exact","375","Anseranas semipalmata","Anseranatidae","Anseriformes","AVIBASE-89D5434B","7","3","3","1","4","85.6","42.4","22.8","20.4","87","405.6","144","269","34.9","148.1","2393.4","Dunning","NA","NO","NA","NA","Wetland","3","2","Herbivore","Omnivore","Terrestrial","-38.9","-10.62","-20.53","137.43","223353.42","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Phalacrocorax fuscescens","phalacrocorax fuscescens","phalacrocorax fuscescens","exact","2318","Phalacrocorax fuscescens","Phalacrocoracidae","Suliformes","AVIBASE-100C8781","4","1","2","1","4","59.7","47.7","10.3","13.2","61.3","263.8","90","173.8","34.1","101.5","1515","Dunning","NA","NO","NA","NA","Marine","3","1","Carnivore","Aquatic predator","Aquatic","-43.64","-31.77","-37.4","141.38","203014.55","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Haliastur sphenurus","haliastur sphenurus","haliastur sphenurus","exact","3146","Haliastur sphenurus","Accipitridae","Accipitriformes","AVIBASE-FEDDD1F2","5","2","3","0","4","40","23.1","13.1","18.2","58.8","407.4","186.2","221.5","45.6","264","752.99","Dunning","NA","NO","NA","NA","Wetland","2","1","Carnivore","Omnivore","Aerial","-39.24","-1.47","-23.9","137.19999999999999","5565646.9299999997","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
"Trichoglossus chlorolepidotus","trichoglossus chlorolepidotus","trichoglossus chlorolepidotus","exact","4401","Trichoglossus chlorolepidotus","Psittacidae","Psittaciformes","AVIBASE-4B0E14DB","9","3","5","1","8","19.2","16.3","10.1","16.4","14.6","128.3","66.1","62.6","51.4","95.2","87.1","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Nectarivore","Insessorial","-36.770000000000003","-10.69","-24.16","148.07","1066541.06","AVONET1_BirdLife",NA,NA,NA,NA,NA,NA,NA,NA
